Liters per Hour,Strainer Height,Day,Hour,Minutes,Seconds,Label
72,8,29/09/2016,17,10,58,0
56,9,29/09/2016,17,10,59,0
48,8,29/09/2016,17,11,0,0
64,7,29/09/2016,17,11,1,0
64,8,29/09/2016,17,11,2,0
80,8,29/09/2016,17,11,3,0
88,7,29/09/2016,17,11,4,0
88,6,29/09/2016,17,11,5,0
96,5,29/09/2016,17,11,6,0
104,5,29/09/2016,17,11,7,0
104,5,29/09/2016,17,11,8,0
120,4,29/09/2016,17,11,9,0
120,4,29/09/2016,17,11,10,0
128,4,29/09/2016,17,11,11,0
136,3,29/09/2016,17,11,12,0
136,3,29/09/2016,17,11,13,0
144,2,29/09/2016,17,11,14,0
136,3,29/09/2016,17,11,15,0
136,3,29/09/2016,17,11,16,0
136,3,29/09/2016,17,11,17,0
136,3,29/09/2016,17,11,18,0
136,4,29/09/2016,17,11,19,0
136,3,29/09/2016,17,11,20,0
144,6,29/09/2016,17,11,21,0
144,4,29/09/2016,17,11,22,0
144,4,29/09/2016,17,11,23,0
144,3,29/09/2016,17,11,24,0
144,3,29/09/2016,17,11,25,0
136,2,29/09/2016,17,11,26,0
136,3,29/09/2016,17,11,27,0
136,4,29/09/2016,17,11,28,0
128,3,29/09/2016,17,11,29,0
128,4,29/09/2016,17,11,30,0
120,4,29/09/2016,17,11,31,0
112,6,29/09/2016,17,11,32,0
112,5,29/09/2016,17,11,33,0
112,5,29/09/2016,17,11,34,0
104,5,29/09/2016,17,11,35,0
104,5,29/09/2016,17,11,36,0
112,5,29/09/2016,17,11,37,0
104,5,29/09/2016,17,11,38,0
104,6,29/09/2016,17,11,39,0
96,7,29/09/2016,17,11,40,0
88,8,29/09/2016,17,11,41,0
72,7,29/09/2016,17,11,42,0
64,9,29/09/2016,17,11,43,0
56,9,29/09/2016,17,11,44,0
40,10,29/09/2016,17,11,45,0
56,8,29/09/2016,17,11,46,0
48,9,29/09/2016,17,11,47,0
48,9,29/09/2016,17,11,48,0
56,8,29/09/2016,17,11,49,0
56,9,29/09/2016,17,11,50,0
56,8,29/09/2016,17,11,51,0
64,8,29/09/2016,17,11,52,0
64,7,29/09/2016,17,11,53,0
64,8,29/09/2016,17,11,54,0
56,7,29/09/2016,17,11,55,0
64,7,29/09/2016,17,11,56,0
56,8,29/09/2016,17,11,57,0
56,8,29/09/2016,17,11,58,0
64,7,29/09/2016,17,11,59,0
64,7,29/09/2016,17,12,0,0
72,7,29/09/2016,17,12,1,0
72,6,29/09/2016,17,12,2,0
80,7,29/09/2016,17,12,3,0
88,6,29/09/2016,17,12,4,0
96,6,29/09/2016,17,12,5,0
88,6,29/09/2016,17,12,6,0
96,6,29/09/2016,17,12,7,0
96,5,29/09/2016,17,12,8,0
96,6,29/09/2016,17,12,9,0
104,6,29/09/2016,17,12,10,0
96,8,29/09/2016,17,12,11,0
88,6,29/09/2016,17,12,12,0
88,7,29/09/2016,17,12,13,0
88,6,29/09/2016,17,12,14,0
88,15,29/09/2016,17,12,15,0
80,6,29/09/2016,17,12,16,0
88,7,29/09/2016,17,12,17,0
80,7,29/09/2016,17,12,18,0
80,7,29/09/2016,17,12,19,0
88,7,29/09/2016,17,12,20,0
80,6,29/09/2016,17,12,21,0
80,7,29/09/2016,17,12,22,0
80,6,29/09/2016,17,12,23,0
80,7,29/09/2016,17,12,24,0
88,7,29/09/2016,17,12,25,0
80,6,29/09/2016,17,12,26,0
96,6,29/09/2016,17,12,27,0
88,6,29/09/2016,17,12,28,0
88,6,29/09/2016,17,12,29,0
88,6,29/09/2016,17,12,30,0
80,7,29/09/2016,17,12,31,0
72,7,29/09/2016,17,12,32,0
72,14,29/09/2016,17,12,33,0
80,6,29/09/2016,17,12,34,0
88,7,29/09/2016,17,12,35,0
80,8,29/09/2016,17,12,36,0
88,6,29/09/2016,17,12,37,0
96,5,29/09/2016,17,12,38,0
104,5,29/09/2016,17,12,39,0
104,6,29/09/2016,17,12,40,0
104,5,29/09/2016,17,12,41,0
112,6,29/09/2016,17,12,42,0
96,7,29/09/2016,17,12,43,0
80,7,29/09/2016,17,12,44,0
72,8,29/09/2016,17,12,45,0
56,8,29/09/2016,17,12,46,0
48,9,29/09/2016,17,12,47,0
32,9,29/09/2016,17,12,48,0
16,10,29/09/2016,17,12,49,0
0,9,29/09/2016,17,12,50,0
0,9,29/09/2016,17,12,51,0
0,9,29/09/2016,17,12,52,0
